"Date","Region","Atividades de polícia judiciária - Total de boletins de ocorrência","Atividades de polícia judiciária - Total de inquéritos instaurados","Atividades de polícia judiciária - Total de termos circunstanciados lavrados pela Polícia
  Civil (2)","Atividades policiais - Armas de fogo apreendidas","Atividades policiais - Nº de Veículos Recuperados","Atividades policiais - Nº de autos de apreensão (art 173 ECA)","Atividades policiais - Nº de infratores apreendidos em flagrante","Atividades policiais - Nº de infratores apreendidos por mandado","Atividades policiais - Nº de pessoas presas em flagrante","Atividades policiais - Nº de pessoas presas por mandado","Atividades policiais - Nº de revistas pessoais/ identificação (9)","Atividades policiais - Prisões efetuadas (em flagrante+ por mandado)","Ocorrências envolvendo policiais civis (3) - Pessoas feridas por policiais civis de folga","Ocorrências envolvendo policiais civis (3) - Pessoas mortas por policiais civis de folga (8)","Ocorrências envolvendo policiais civis (3) - Policiais civis feridos em serviço","Ocorrências envolvendo policiais civis (3) - Policiais civis mortos em serviço","Ocorrências envolvendo policiais militares (4) - Pessoas feridas em confronto com a polícia militar em
  serviço","Ocorrências envolvendo policiais militares (4) - Pessoas feridas por policiais militares de folga","Ocorrências envolvendo policiais militares (4) - Pessoas mortas em confronto com a polícia militar em
  serviço (8)","Ocorrências envolvendo policiais militares (4) - Pessoas mortas por policiais militares de folga (8A)","Ocorrências envolvendo policiais militares (4) - Policiais militares feridos em serviço","Ocorrências envolvendo policiais militares (4) - Policiais militares mortos em serviço","Ocorrências policiais registradas, por natureza - Contra a Dignidade Sexual","Ocorrências policiais registradas, por natureza - Contra a pessoa","Ocorrências policiais registradas, por natureza - Contra o patrimônio","Ocorrências policiais registradas, por natureza - Contravencionais","Ocorrências policiais registradas, por natureza - Entorpecentes","Ocorrências policiais registradas, por natureza - Não Criminais","Ocorrências policiais registradas, por natureza - Outros criminais (não inclui contravenções)","Ocorrências policiais registradas, por natureza - Total de delitos","Ocorrências policiais registradas, por tipo - Extorsão mediante seqüestro (5)","Ocorrências policiais registradas, por tipo - Furto - outros","Ocorrências policiais registradas, por tipo - Furto de veículos","Ocorrências policiais registradas, por tipo - Homicídio Culposo (7)","Ocorrências policiais registradas, por tipo - Homicídio Doloso por acidente de trânsito (10)","Ocorrências policiais registradas, por tipo - Homicídio culposo por Acidente de Trânsito","Ocorrências policiais registradas, por tipo - Homicídio doloso","Ocorrências policiais registradas, por tipo - Latrocínio","Ocorrências policiais registradas, por tipo - Lesão corporal culposa outras","Ocorrências policiais registradas, por tipo - Lesão corporal culposa por Acidente de Trânsito","Ocorrências policiais registradas, por tipo - Lesão corporal dolosa","Ocorrências policiais registradas, por tipo - Nº de Vítimas de Latrocínio","Ocorrências policiais registradas, por tipo - Nº de Vítimas em Homicídio Doloso","Ocorrências policiais registradas, por tipo - Roubo a Banco","Ocorrências policiais registradas, por tipo - Roubo de Carga","Ocorrências policiais registradas, por tipo - Roubo de veículos","Ocorrências policiais registradas, por tipo - Tentativa de homicídio","Ocorrências policiais registradas, por tipo - Tráfico de entorpecentes"
2016-04-01,"Gde SP(1)",137140,17622,4814,603,4544,805,1038,176,6155,2436,532878,7741,2,1,4,1,23,9,20,11,7,0,502,17618,56320,1314,1957,66010,4172,81883,1,17596,6086,167,1,162,169,18,78,3618,4880,18,176,8,502,5532,188,1511
2016-04-01,"Interior",421693,59272,31424,2620,8022,2339,3428,1245,18949,11399,2741741,27212,2,1,15,1,49,7,55,10,9,2,1819,82216,127885,8768,10314,175352,20909,251911,2,66223,10841,703,6,671,458,40,416,17785,20770,43,471,17,460,4032,541,8165
2016-07-01,"Capital",162858,27981,3602,1229,8318,840,1067,47,10297,3438,1197731,9331,7,3,10,2,52,32,48,39,24,2,740,25225,123174,1271,2585,129080,5576,158571,5,45814,12099,105,2,95,202,33,227,4332,7285,33,210,7,1508,9419,223,2075
2016-07-01,"Deinter 1",45325,6615,2627,257,785,318,430,109,1797,907,0,2448,0,0,3,0,6,0,2,2,0,0,179,8070,13983,718,811,18475,1778,25539,1,6694,1249,64,0,59,95,7,53,1278,2020,7,97,2,62,436,87,784
2016-07-01,"Deinter 10",16152,2375,820,102,115,70,100,40,782,475,92649,1118,0,0,4,0,0,1,0,0,0,0,105,3628,3449,431,433,6625,1062,9108,0,2107,127,29,0,28,15,1,24,1008,825,1,15,1,1,12,31,345
2016-07-01,"Deinter 2",69371,7562,2701,286,1478,235,324,118,2508,1069,244792,3190,0,0,1,0,9,2,14,4,2,0,288,12109,22909,926,1084,29418,2746,40062,0,10702,2086,122,0,116,60,8,129,2729,3035,8,62,1,164,1193,67,889
2016-07-01,"Deinter 3",69952,9162,4663,302,1319,463,580,257,2985,1808,596396,4271,1,0,3,0,3,0,4,0,5,0,262,13253,20722,1632,1713,28941,2955,40537,0,12235,1665,101,0,99,67,7,86,2329,3330,8,69,5,54,352,82,1396
2016-07-01,"Deinter 4",40421,5544,4813,220,537,222,284,172,1630,1127,157029,2523,1,0,2,0,0,2,1,1,1,0,237,9162,9902,1253,968,15843,2340,23862,0,5807,682,78,2,76,31,0,31,2003,2264,0,34,4,17,53,54,664
2016-07-01,"Deinter 5",28479,4753,2920,153,384,118,180,137,1105,1003,91935,1749,0,0,0,0,4,0,8,1,3,0,147,6882,6688,833,660,10390,1990,17200,0,3962,668,60,3,56,26,3,60,1691,1595,3,28,2,13,43,38,559
2016-07-01,"Deinter 6",31192,4269,2754,266,773,182,281,91,1798,1077,304081,2545,0,0,1,0,12,1,11,3,2,0,146,5357,15180,573,1067,16398,1504,23827,2,6326,789,61,2,58,47,4,48,924,1368,4,48,1,101,752,87,413
2016-07-01,"Deinter 7",47572,6911,2390,309,664,193,286,153,2355,2096,224954,4050,1,0,1,0,5,1,7,0,4,0,327,9425,13297,1007,1036,19887,2858,27950,0,7222,976,92,0,91,50,6,16,1576,2340,6,53,5,20,316,61,908
2016-07-01,"Deinter 8",17786,3176,3206,108,138,92,82,91,800,822,58681,1389,0,0,0,0,0,0,1,0,0,0,68,4470,3319,535,566,7162,1297,10255,0,1990,110,22,0,22,9,0,24,892,1144,0,10,0,3,7,26,333
2016-07-01,"Deinter 9",60034,7645,3973,309,1520,154,337,211,2229,1276,273144,3271,1,0,1,0,3,0,7,0,2,2,221,11620,17071,1140,1213,26081,3360,34625,1,8127,2028,104,0,100,59,6,26,3025,2951,6,60,3,88,685,69,1061
2016-07-01,"Gde SP(1)",138352,17431,4422,602,4543,807,1165,226,5827,2383,543792,7508,4,0,3,0,26,21,21,10,18,0,646,17632,56621,1310,1770,65646,4495,82474,0,17543,5989,132,5,125,194,18,109,3653,4925,20,203,4,598,5531,180,1541
2016-07-01,"Interior",426284,58012,30867,2312,7713,2047,2884,1379,17989,11660,0,26554,4,0,16,0,42,7,55,11,19,2,1980,83976,126520,9048,9551,179220,21890,252965,4,65172,10380,733,7,705,459,42,497,17455,20872,43,476,24,523,3849,602,7352
2016-10-01,"Capital",162517,25835,4187,1102,8294,1018,1079,62,9502,3476,1065152,8673,5,5,3,1,88,56,81,48,24,3,744,25781,122824,1312,2157,129688,5412,158230,3,47412,9945,113,7,100,208,32,222,3972,7771,32,226,14,1745,10297,244,1951
2016-10-01,"Deinter 1",43476,6031,2583,318,836,264,341,84,1720,824,314743,2324,0,1,1,0,8,2,6,1,0,0,171,7914,13328,691,702,18143,1555,24361,0,6578,1218,76,2,73,111,3,28,1165,2133,3,120,1,41,507,95,707
2016-10-01,"Deinter 10",15854,2412,821,89,158,80,102,22,733,427,85161,1041,0,0,0,0,0,0,0,0,0,0,72,3738,3458,402,438,6430,915,9023,0,2095,150,21,1,18,26,1,21,917,927,1,26,0,1,11,30,360
2016-10-01,"Deinter 2",70730,8071,2458,356,1525,239,325,77,2657,991,218252,3214,0,0,0,0,7,2,11,5,3,0,316,12147,23059,870,1155,30061,2547,40094,2,11047,1948,114,1,108,67,7,122,2550,3285,7,69,4,157,1334,72,934
2016-10-01,"Deinter 3",69023,8802,4278,332,1316,412,508,164,2880,1626,538985,4033,1,0,5,0,9,0,7,1,0,0,258,13364,20425,1545,1747,28676,2665,40004,1,11960,1750,94,0,93,68,9,70,2149,3627,9,73,3,78,454,68,1382
2016-10-01,"Deinter 4",40476,5324,4201,259,677,268,328,128,1754,1161,139803,2612,0,0,2,0,4,0,2,0,1,0,228,9552,10097,1136,955,15624,2091,24059,0,5850,804,59,2,57,29,1,26,2090,2593,1,29,0,20,61,56,723
2016-10-01,"Deinter 5",27764,4242,2510,145,390,100,138,89,946,861,87280,1599,0,0,0,0,0,0,5,0,0,1,134,6985,6985,837,506,9757,1796,17243,0,4248,642,52,0,50,29,5,57,1564,1784,5,30,3,6,45,47,442
2016-10-01,"Deinter 6",33120,4283,2558,203,872,219,322,65,1774,991,266966,2509,2,0,2,0,11,3,5,5,5,0,144,5828,16503,558,1211,18585,1354,25598,0,7211,1102,64,0,62,48,7,62,877,1643,7,50,1,128,793,63,502
2016-10-01,"Deinter 7",46801,6777,2223,282,680,190,284,127,2430,1995,205205,4001,0,0,2,0,4,0,10,2,0,0,295,9796,12921,977,1107,19552,2563,27659,1,7136,1023,97,1,92,59,2,32,1453,2637,2,62,1,19,361,59,921
2016-10-01,"Deinter 8",18020,3075,3259,106,163,98,94,84,755,758,58046,1299,0,0,0,0,0,0,0,0,2,0,73,4789,3470,516,541,7139,1185,10574,0,2191,164,19,0,19,17,1,45,885,1352,1,19,1,5,9,23,332
2016-10-01,"Deinter 9",59378,7437,3356,263,1609,190,381,184,2352,1168,247619,3245,0,0,2,0,5,0,8,1,2,1,216,11641,17200,1183,1172,26000,2739,34151,0,7992,2016,72,2,69,68,5,22,2724,3235,5,73,2,77,838,79,1116
2016-10-01,"Gde SP(1)",134867,16323,4215,665,4849,698,938,135,5645,2411,502917,7327,0,1,4,0,32,13,39,18,10,2,531,17473,55429,1236,1667,63662,4014,80350,0,16404,5333,124,1,119,208,23,169,2975,5229,24,224,7,639,6479,196,1333
2016-10-01,"Interior",424642,56454,28247,2353,8226,2060,2823,1024,18001,10802,2556828,25877,3,1,14,0,48,7,54,15,13,2,1907,85754,127446,8715,9534,179967,19410,252766,4,66308,10817,668,9,641,522,41,485,16374,23216,41,551,16,532,4413,592,7419
2017-01-01,"Capital",160192,25720,2942,942,7919,1192,1276,18,9849,3980,1080665,8956,2,5,11,0,62,53,76,36,18,1,745,25700,124194,1321,2331,134067,4865,159156,5,50581,10536,102,4,95,188,34,273,3650,7667,35,201,15,1613,8680,214,2121
2017-01-01,"Deinter 1",46214,6299,2678,291,798,311,384,108,1819,843,259389,2436,0,0,0,0,6,0,11,0,3,0,185,8412,13328,646,870,20463,1462,24903,0,6750,1212,53,0,49,76,8,86,1165,2192,8,80,0,61,420,96,790
2017-01-01,"Deinter 10",16032,2591,852,104,132,90,118,18,786,388,84494,1059,0,0,1,0,0,0,0,0,0,0,79,3549,3586,356,483,6696,922,8975,0,2256,150,27,0,25,13,1,25,901,862,1,13,0,1,11,22,409
2017-01-01,"Deinter 2",72536,7539,2242,345,1564,208,303,81,2572,1078,211983,3096,0,0,2,0,5,0,6,0,3,0,340,11964,22584,807,1156,31470,2419,39270,0,10785,1913,85,1,83,72,4,93,2120,3220,4,83,8,148,1259,69,938
2017-01-01,"Deinter 3",68761,8871,4295,316,1238,414,527,166,2954,1685,554693,4126,0,0,2,0,7,3,4,0,1,1,259,12906,19839,1508,1960,29666,2383,38855,0,11474,1527,73,1,68,56,4,89,1894,3438,5,58,0,72,364,97,1622
2017-01-01,"Deinter 4",42151,5502,4189,228,520,242,321,113,1724,1065,132368,2485,0,0,1,0,3,0,5,2,0,0,221,9180,10250,1197,959,17686,1818,23625,0,6082,634,67,1,63,32,6,25,1821,2504,6,36,1,7,63,48,707
2017-01-01,"Deinter 5",28425,4285,2802,141,408,85,105,109,1019,913,103235,1675,1,0,1,1,2,0,0,0,0,0,130,6922,7260,763,628,10295,1668,17371,0,4496,734,42,1,38,33,4,60,1604,1650,4,33,0,5,48,38,532
2017-01-01,"Deinter 6",35486,4733,3397,243,1013,163,347,76,1995,1094,262076,2797,1,0,5,0,16,1,13,2,3,0,163,6519,18142,580,1607,22644,1588,28599,0,8070,1093,65,0,59,44,5,49,938,1794,5,45,1,112,821,65,612
2017-01-01,"Deinter 7",47747,6879,2323,376,664,197,252,75,2254,1810,203285,3626,0,2,2,0,8,0,14,0,1,0,303,9921,13048,1019,1114,20274,2390,27795,0,7188,913,96,2,96,61,4,36,1335,2681,4,65,1,27,316,54,860
